,017c_7byte
12785,00000101
12804,00011011
12818,00100101
12833,00110100
12841,00000110
12857,00000001
12875,00111110
12885,00000001
12886,00100111
12900,00110110
12905,00000001
12921,00100010
12936,00110001
12945,00111100
12955,00001111
12961,00110011
12972,00000110
12979,00101000
12995,00110011
13005,00000110
13010,00000101
13026,00101010
13043,00111001
13053,00111111
13067,00011100
13077,00101011
13082,00100110
13102,00100111
13113,00010001
13123,00100000
13129,00010110
13139,00100101
13155,00111101
13165,00000000
13169,00101100
13183,00101011
13208,00010000
13220,00100011
13238,00110011
13248,00000110
13258,00100100
13278,00100011
13291,00001001
13307,00101110
13324,00111011
13338,00011100
13348,00101011
13356,00101110
13372,00111101
13385,00011110
13402,00110100
13411,00000100
13433,00010111
13444,00001100
13462,00100010
13485,00100011
13505,00010100
13518,00100111
13530,00011100
13541,00101011
13548,00110010
13569,00010110
13580,00101010
13592,00110000
13602,00011110
13612,00101010
13620,00111000
13638,00100101
13655,00111100
13670,00100011
13687,00110101
13697,00001000
13706,00000101
13731,00000100
13744,00010110
13762,00110010
13774,00100111
13796,00100011
13810,00100111
13826,00100010
13850,00010100
13865,00011010
13880,00010010
13890,00100001
13902,00000001
13922,00110010
13932,00000111
13948,00101010
13970,00101111
13982,00110000
13995,00000011
14004,00100100
14021,00001100
14042,00101110
14071,00001001
14088,00000111
14102,00110100
14114,00000111
14128,00010010
14161,00111000
14193,00011110
14207,00110101
14221,00000111
14229,00010101
14245,00011001
14279,00110111
14292,00000111
14301,00010111
14303,00101101
14313,00111001
14328,00110000
14341,00000011
14355,00011101
14367,00111001
14385,00000000
14405,00100010
14412,00011111
14439,00000110
14453,00101001
14487,00000010
14503,00001000
14522,00001110
14534,00100101
14550,00101111
14563,00111110
14578,00000011
14588,00101110
14608,00110101
14628,00101011
14637,00000101
14655,00010101
14670,00111100
14684,00001111
14695,00111001
14710,00010111
14727,00110011
14744,00001111
14758,00111111
14779,00101000
14799,00110001
14809,00011011
14828,00011011
14841,00111111
14854,00101010
14866,00111001
14881,00110001
14898,00101011
14920,00011101
14930,00010010
14944,00110010
14957,00000101
14970,00001001
14988,00101001
14994,00000100
15004,00010011
15011,00010011
15024,00100011
15038,00011111
15059,00011000
15067,00000000
15077,00011111
15087,00111001
15100,00111011
15122,00101001
15133,00111000
15143,00011000
15162,00100001
15178,00101100
15190,00010001
15208,00100000
15222,00010011
15243,00101111
15253,00110001
15268,00011100
15278,00110001
15314,00000000
15330,00000110
15346,00000010
15356,00010000
15366,00110100
15379,00110100
15402,00101101
15412,00010101
15434,00000110
15447,00110100
15474,00110101
15485,00111110
15504,00110011
15525,00000100
15537,00101100
15552,00110010
15559,00001001
15568,00010011
15604,00101000
15619,00110001
15639,00111100
15657,00001110
15671,00110100
15690,00011000
15701,00100111
15717,00101010
15727,00001000
15749,00001100
15751,00000001
15760,00011110
15785,00000101
15795,00010100
15806,00111011
15818,00001101
15831,00001101
15846,00010010
15878,00101100
15892,00111000
15911,00110111
15921,00001001
15938,00001010
15946,00101011
15957,00111010
15966,00000110
15981,00011010
15998,00000010
16013,00001100
16029,00100010
16043,00110001
16051,00010001
16061,00100000
16066,00110000
16077,00000011
16085,00010101
16101,00001001
16117,00100001
16136,00011101
16153,00010001
16164,00100000
16166,00101010
16178,00111001
16189,00000011
16206,00100111
16219,00110111
16237,00001010
16251,00010100
16261,00101111
16281,00011010
16294,00011100
16313,00111110
16322,00100111
16341,00001101
16358,00101100
16371,00010001
16381,00101101
16394,00110110
16405,00001001
16417,00111001
16429,00000011
16443,00011110
16459,00010110
16469,00100101
16478,00001100
16494,00001001
16508,00011000
16521,00111001
16537,00011010
16548,00011111
16563,00010101
16573,00101010
16575,00111010
16586,00001101
16597,00000111
16614,00100000
16628,00111111
16637,00100101
16657,00011101
16674,00000101
16689,00111001
16699,00000011
16719,00100100
16733,00110011
16742,00100100
16760,00000101
16767,00111101
16778,00000001
16792,00111110
16808,00011000
16824,00011000
16840,00010000
